low,high,open,close,volume,macd,macd_hist,macd_signal,adx,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,rsi,atr,ema_short,ema_long
582.52,594.83,594.31,587.33,113969.0,,,,,,,,,,,,,
582.38,590.94,587.27,583.1,81678.14,,,,,,,,,,,,,
565.55,584.31,583.11,579.8,248872.65,,,,,,,,,,,,,
579.3,599.0,579.78,595.66,112652.06,,,,,,,,,,,,,
595.4,600.86,595.65,597.39,66566.92,,,,,,,,,,,,,
592.94,599.81,597.45,596.71,52549.46,,,,,,,,,,,,,
596.16,600.58,596.71,600.42,17453.36,,,,,,,,,,,,,
600.2,609.72,600.42,607.06,70013.99,,,,,,,,,,,,,
600.64,607.13,607.06,604.17,41380.47,,,,,,,,,,,,594.6266666666667,
602.42,606.76,604.17,606.2,28072.25,,,,,,,,,,,,596.9413333333333,
602.66,606.69,606.21,603.75,26658.22,,,,,,,,,,,,598.3030666666667,
601.79,610.07,603.76,609.59,47562.42,,,,,,,,,,,,600.5604533333334,
605.43,612.99,609.53,606.51,47590.99,,,,,,,,,,,,601.7503626666668,
601.92,606.85,606.5,601.92,33961.48,,,,,,,,,,,,601.7842901333335,
600.58,605.6,601.91,602.5,30074.04,,,,,,,,,,59.57814811570463,7.393384200174722,601.9274321066667,
593.0,605.15,602.5,593.86,52835.57,,,,,,,,,,46.8984973016675,7.899749710253668,600.3139456853335,
570.56,595.85,593.86,584.8,252598.7,,,,,,,,,,37.811113013563784,9.688379412691885,597.2111565482668,
565.0,588.12,584.75,575.3,206919.4,,,,,,,,,,31.023066863647635,11.027765684498124,592.8289252386135,
574.73,587.88,575.33,583.42,100137.9,,,,,,,,,,40.80505348686841,11.233570254478602,590.9471401908908,
575.96,585.81,583.39,584.68,67814.92,,,,,,,,,,42.17541424403545,11.102740239062918,589.6937121527126,
574.18,585.87,584.64,576.19,78549.26,,,,,616.4576149909836,594.6515,572.8453850090165,7.334082228324855,0.0766898411836891,36.10953207280275,11.157015899095732,586.9929697221701,
575.36,583.96,576.3,577.28,46523.8,,,,,616.9178557625888,594.3605,571.8031442374112,7.5904626106845345,0.12139844359931837,37.35525863450395,10.92555086425189,585.0503757777361,
565.02,580.48,577.28,571.38,107840.51,,,,,617.8423111108297,593.9395000000001,570.0366888891705,8.048904344913778,0.028099437856932804,33.542870742861744,11.32832603818184,582.3163006221889,
570.64,583.48,571.37,581.42,57678.45,,,,,617.7238702413235,593.2275000000001,568.7311297586766,8.258676558764877,0.25899490651717477,44.01395201582473,11.46030533983381,582.1370404977512,
579.84,585.97,581.45,585.41,47876.03,,,,,617.2738713909935,592.6285,567.9831286090066,8.31730886752609,0.35355262281342537,47.55077172474313,11.002207587760122,582.7916323982009,
579.49,585.99,585.4,581.78,34786.38,,,,,616.8894297759684,591.882,566.8745702240315,8.450140323905268,0.2980200266380885,44.779189596489424,10.620813693356236,582.5893059185607,591.4473076923076
580.88,586.63,581.79,582.84,40557.15,-7.129570547218691,,,,615.9840537007547,591.0029999999999,566.0219462992452,8.453782366842379,0.3366161792496111,45.7731486509037,10.213603609338975,582.6394447348487,590.8097293447292
572.55,583.36,582.84,572.72,50747.24,-7.475768872297408,,,45.48511325997267,614.3369252523732,589.2860000000001,564.2350747476269,8.502128084622132,0.1693535301968406,38.625000472556856,10.262863909326411,580.6555557878789,589.4697493932679
560.74,575.07,572.73,561.39,111046.67,-8.56563059283144,,,47.21316683885957,613.9905885082451,587.147,560.303411491755,9.14373692047989,0.020239255789352185,32.50481553856664,10.595085177033297,576.8024446303032,587.3897679567295
542.0,565.68,561.39,560.51,265215.51,-9.392096264556585,,,49.72688250273614,612.5934407521629,584.8625,557.131559247837,9.482892389976431,0.06091464372515881,32.079645112299154,11.653067213291665,573.5439557042425,585.3986740340089
556.0,572.1,560.52,570.86,94904.28,-9.106938642523005,,,50.417612788939756,610.1633896613125,583.218,556.2726103386874,9.240246241135411,0.2706843331023856,41.73303984009146,12.009266665308592,573.0071645633941,584.3217352166749
567.63,578.66,570.78,577.24,82195.37,-8.270795905687237,,,49.68972811099401,605.7591344605808,581.6005,557.4418655394193,8.307638821005396,0.40975276340401273,46.756592642341616,11.931501711132576,573.8537316507153,583.797162237662
574.33,580.99,577.25,577.09,65497.34,-7.53341004741776,,,48.610087067377584,601.4592102418189,580.1295,558.7997897581811,7.353430653610592,0.42874961812559587,46.654747640900084,11.516199580023939,574.5009853205722,583.3003354052425
566.87,580.37,577.09,568.73,97839.02,-7.536729844529532,0.532751651787887,-8.069481496317419,48.2289561361464,597.8340212765828,578.47,559.1059787234173,6.694909425409365,0.24850265187999074,41.260498111632955,11.671347407067884,573.3467882564578,582.2210513011505
568.58,584.78,568.77,583.0,81360.24,-6.315094587628209,1.4035095269513675,-7.718604114579577,47.10242338128522,593.6126555367072,577.495,561.3773444632928,5.581920375659412,0.670775457617351,51.5565873230733,12.023136735626185,575.2774306051663,582.278751204769
