low,high,open,close,volume,macd,macd_hist,macd_signal,adx,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,rsi,atr,ema_short,ema_long
69338.8,70740.2,70679.4,70154.0,29881.518,,,,,,,,,,,,,
69432.8,70520.8,70153.0,69672.4,23989.308,,,,,,,,,,,,,
68600.0,70029.8,69672.5,69500.4,41817.585,,,,,,,,,,,,,
69392.1,70789.1,69500.4,70610.3,18709.607,,,,,,,,,,,,,
70562.3,71316.3,70610.2,70810.8,18276.801,,,,,,,,,,,,,
70356.0,71151.3,70810.8,70813.9,10099.595,,,,,,,,,,,,,
70695.0,71219.5,70814.0,71163.8,3301.23,,,,,,,,,,,,,
71143.8,71731.4,71163.8,71591.2,10084.326,,,,,,,,,,,,,
71337.7,71700.0,71591.2,71594.0,4844.808,,,,,,,,,,,,70656.75555555556,
71450.3,71785.0,71594.1,71579.6,3949.301,,,,,,,,,,,,70841.32444444446,
71432.6,71765.2,71580.2,71455.5,3287.682,,,,,,,,,,,,70964.15955555557,
71321.0,72198.0,71455.6,72156.2,9089.56,,,,,,,,,,,,71202.56764444445,
71838.5,72500.0,72156.1,71971.0,11840.246,,,,,,,,,,,,71356.25411555557,
71854.2,72132.6,71970.9,71964.0,3625.27,,,,,,,,,,,,71477.80329244446,
71667.9,72074.1,71964.1,71700.0,3926.455,,,,,,,,,,67.01979681890312,627.934335377041,71522.24263395557,
70745.5,71835.0,71699.9,70758.5,11210.896,,,,,,,,,,47.03217032503419,677.070305789097,71369.49410716446,
67828.3,70810.7,70758.6,69062.4,58811.597,,,,,,,,,,29.793708891394854,914.1790935452825,70908.07528573157,
66660.1,69475.0,69062.5,67467.8,52079.487,,,,,,,,,,21.729819130067472,1103.7168691318072,70220.02022858526,
67392.1,68957.0,67467.8,68266.0,32638.332,,,,,,,,,,31.69564017607689,1148.4402982259846,69829.21618286821,
67380.0,68548.0,68266.0,68225.3,21040.337,,,,,,,,,,31.47557174674007,1150.2898581426834,69508.43294629458,
66905.0,68317.8,68225.2,67477.3,25465.477,,,,,73414.75201630576,70392.01999999999,67369.28798369422,8.588280365603302,0.017866621275576047,27.67277741570617,1174.5515429410373,69102.20635703567,
67418.8,68294.8,67477.2,67802.9,13432.489,,,,,73513.99153600399,70298.54500000001,67083.09846399604,9.147974644436738,0.11192870538262732,31.5495725889832,1147.5261954201367,68842.34508562853,
67160.9,68099.8,67802.9,67478.8,13057.887,,,,,73626.89834169071,70197.465,66768.03165830928,9.77081819604374,0.10362766540030105,29.83529658708347,1128.9948480323749,68569.63606850283,
67462.5,68556.0,67478.7,68418.0,11682.689,,,,,73596.71931104595,70087.85,66578.98068895406,10.012774856258089,0.26205297889788776,40.008159409635724,1125.8959091249922,68539.30885480226,
68257.0,68733.9,68417.9,68708.4,10859.532,,,,,73524.48212351176,69982.73000000001,66440.97787648826,10.121788971398358,0.3200989290667125,42.77104876465599,1070.1198234937608,68573.12708384181,
68171.2,68798.3,68708.4,68315.2,7643.399,,,,,73449.38735352509,69857.795,66266.2026464749,10.282581502966394,0.2852491529995089,40.079541062326584,1032.590444297706,68521.54166707346,69950.68076923076
68242.2,68910.5,68315.2,68487.4,9678.696,-1147.5931929318758,,,,73310.38980360261,69723.975,66137.5601963974,10.287465118282775,0.3276029032171829,41.806664197573944,1002.1350108181845,68514.71333365877,69842.2896011396
67671.8,68665.5,68487.4,67740.4,15500.234,-1138.7124989534932,,,51.203444221097456,73109.6597907447,69531.435,65953.2102092553,10.292394485299209,0.24973134658383878,36.84528693779046,1001.4383078035324,68359.85066692701,69686.59407512925
67058.0,68053.5,67740.5,67122.6,23648.288,-1168.061100549312,,,51.72405874516129,72901.38984464764,69307.86499999999,65714.34015535234,10.36974618868334,0.19594408074639946,33.323087417287965,1000.9532411368311,68112.40053354162,69496.66858808264
