low,high,open,close,volume,macd,macd_hist,macd_signal,adx,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,rsi,atr,ema_short,ema_long
0.1401,0.14562,0.14381,0.14212,1548108361.0,,,,,,,,,,,,,
0.14213,0.14546,0.14213,0.14362,764746689.0,,,,,,,,,,,,,
0.1324,0.14528,0.14362,0.13561,2867613428.0,,,,,,,,,,,,,
0.126,0.13618,0.1356,0.13284,2998615191.0,,,,,,,,,,,,,
0.12531,0.13292,0.13285,0.13058,3184190024.0,,,,,,,,,,,,,
0.12863,0.13471,0.13057,0.13431,2433156582.0,,,,,,,,,,,,,
0.1326,0.13657,0.13433,0.1344,1871802345.0,,,,,,,,,,,,,
0.1266,0.13489,0.1344,0.12887,1941380888.0,,,,,,,,,,,,,
0.12584,0.13188,0.12887,0.12762,2021061926.0,,,,,,,,,,,,0.13444111111111112,
0.12252,0.13495,0.12762,0.13346,2507165869.0,,,,,,,,,,,,0.1342448888888889,
0.13184,0.13608,0.13346,0.13449,1781818627.0,,,,,,,,,,,,0.13429391111111114,
0.13131,0.13624,0.13449,0.13241,1600445675.0,,,,,,,,,,,,0.1339171288888889,
0.12679,0.15046,0.13242,0.14616,4432863031.0,,,,,,,,,,,,0.13636570311111113,
0.1442,0.15345,0.14616,0.15223,2945491093.0,,,,,,,,,,,,0.1395385624888889,
0.1493,0.15388,0.15222,0.15034,1673188542.0,,,,,,,,,,65.21327845462602,0.0086379025571205,0.14169884999111113,
0.14675,0.15463,0.15034,0.15388,1674093315.0,,,,,,,,,,68.37975264290691,0.008557220044368354,0.1441350799928889,
0.15064,0.158,0.15389,0.15159,1470065894.0,,,,,,,,,,64.30215046649262,0.008434083039665538,0.14562606399431113,
0.15156,0.15741,0.1516,0.15711,1887124119.0,,,,,,,,,,69.08736708584271,0.008176401151911365,0.1479228511954489,
0.14847,0.16038,0.15711,0.15136,2921612625.0,,,,,,,,,,60.05643553697116,0.008538468478689457,0.14861028095635911,
0.14922,0.15714,0.15136,0.15549,1634863707.0,,,,,,,,,,63.72432547528077,0.008479986272716084,0.1499862247650873,
0.15161,0.15968,0.15549,0.1578,1823752428.0,,,,,0.16292778886327908,0.14220850000000002,0.12148921113672095,29.139311452239575,0.8762556741904618,65.6256264945435,0.008442094564418978,0.15154897981206986,
0.15536,0.16493,0.1578,0.16332,1914333500.0,,,,,0.16586834621778063,0.1431935,0.12051865378221938,31.670217178545986,0.943806758526496,69.71100275797144,0.008544194309297233,0.1539031838496559,
0.15506,0.16519,0.16332,0.156,2216574058.0,,,,,0.1672627402154558,0.144213,0.12116325978454422,31.96624467344247,0.7556861788857888,59.59589920309714,0.008685054454327072,0.15432254707972473,
0.14533,0.15688,0.15601,0.14985,3238685905.0,,,,,0.16762194079274984,0.14506349999999998,0.12250505920725013,31.101470449492606,0.6060911089550652,52.67979120354117,0.008935183464906874,0.1534280376637798,
0.14785,0.15306,0.14985,0.15219,1459418201.0,,,,,0.1678791414994244,0.146144,0.1244088585005756,29.744829071907706,0.6390835205779567,54.827828334997456,0.008615033292911451,0.15318043013102384,
0.14816,0.15336,0.15217,0.15304,1184186206.0,,,,,0.1683033767842628,0.1470805,0.1258576232157372,28.85885863083522,0.6404027375878444,55.61597950352007,0.008325736804085977,0.15315234410481907,0.14464192307692308
0.15174,0.16504,0.15305,0.15874,2705204615.0,0.007484695373751182,,,,0.1692621348644569,0.14829750000000003,0.12733286513554315,28.273753589179687,0.7490503666654367,60.5826626169594,0.008741595480162005,0.15426987528385525,0.14568622507122508
