low,high,open,close,volume,macd,macd_hist,macd_signal,adx,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,rsi,atr,ema_short,ema_long
91.5,93.38,92.74,91.67,157056.34,,,,,,,,,,,,,
89.6,92.23,91.68,91.59,465530.554,,,,,,,,,,,,,
91.54,93.56,91.57,93.39,140434.823,,,,,,,,,,,,,
93.24,94.33,93.38,94.1,89790.938,,,,,,,,,,,,,
93.43,94.57,94.1,94.19,82062.93,,,,,,,,,,,,,
94.1,94.91,94.19,94.86,43205.205,,,,,,,,,,,,,
94.82,95.29,94.86,95.09,56634.182,,,,,,,,,,,,,
94.53,95.11,95.08,94.65,38122.563,,,,,,,,,,,,,
94.29,94.71,94.65,94.33,39868.686,,,,,,,,,,,,93.76333333333334,
94.04,94.5,94.33,94.18,39089.07,,,,,,,,,,,,93.84666666666668,
94.09,95.19,94.19,95.15,62510.711,,,,,,,,,,,,94.10733333333334,
94.57,95.5,95.15,94.69,51513.678,,,,,,,,,,,,94.22386666666668,
94.24,94.8,94.7,94.24,32007.985,,,,,,,,,,,,94.22709333333334,
94.11,94.73,94.25,94.24,47209.523,,,,,,,,,,,,94.22967466666668,
92.66,94.73,94.24,92.85,138220.078,,,,,,,,,,45.44859590712807,1.0131295443774,93.95373973333335,
89.0,93.03,92.84,90.88,569918.587,,,,,,,,,,31.97816487177344,1.334290472943369,93.33899178666668,
86.0,91.63,90.88,88.18,624959.161,,,,,,,,,,22.246222632024082,1.7761146862308914,92.30719342933335,
88.18,90.44,88.19,89.78,312428.138,,,,,,,,,,34.89140777487323,1.8243671917404203,91.80175474346669,
88.24,90.16,89.78,89.11,269441.265,,,,,,,,,,32.50730913300111,1.8336412237528725,91.26340379477335,
87.18,89.27,89.11,87.71,338255.341,,,,,,,,,,28.175102621326797,1.8578824377713061,90.55272303581869,
87.61,89.22,87.69,88.3,164822.497,,,,,97.64997524380601,92.5755,87.501024756194,10.962890276165952,0.07872491296329027,32.27155484825359,1.8349726731058182,90.10217842865495,
87.28,88.86,88.3,87.63,146226.131,,,,,97.88121102075682,92.3775,86.87378897924317,11.915695966565073,0.06870010234047813,30.167397556955898,1.8118921522981308,89.60774274292396,
87.63,89.59,87.64,89.46,123615.649,,,,,97.8053858331377,92.181,86.55661416686229,12.202917809825687,0.2581069221844242,41.40513409659766,1.825047921021661,89.57819419433918,
89.0,89.8,89.46,89.66,109668.271,,,,,97.61330420122583,91.959,86.30469579877418,12.297446038399347,0.2967035449294014,42.49430262249437,1.7355543448979276,89.59455535547134,
88.93,89.72,89.65,89.13,73648.235,,,,,97.39109419447031,91.70599999999999,86.02090580552967,12.398521785859865,0.273442628047784,40.353637356587534,1.6542913979848795,89.50164428437708,
89.05,90.13,89.14,89.68,90063.271,,,,,97.00428027006018,91.447,85.88971972993983,12.1541007798182,0.3410193553202903,43.53261334773777,1.6056416570454408,89.53731542750167,91.8746153846154
88.25,89.85,89.69,88.38,140050.893,-1.992923130925675,,,,96.5576115486189,91.11149999999999,85.66538845138109,11.954827982458639,0.24922474727012453,38.33225787932629,1.6051700028652354,89.30585234200133,91.61575498575499
85.64,88.68,88.38,85.75,367052.552,-2.154243046968844,,,57.47514909479888,96.33333077213359,90.6665,84.9996692278664,12.500384976002369,0.06620373911846061,30.416035623858637,1.72368204820388,88.59468187360108,91.1812546164398
83.34,86.8,85.76,86.36,627976.042,-2.2074225476070097,,,58.88567696662875,95.96911427705147,90.268,84.56688572294853,12.631528951680494,0.1572599837429362,33.82936090082062,1.8655120087037722,88.14774549888087,90.82412464485166
85.67,87.94,86.36,87.72,241034.505,-2.1154415575359735,,,58.42657901583157,95.45164144465575,89.94500000000001,84.43835855534427,12.244463715950284,0.29797122961770134,40.80159946180188,1.8982169238265298,88.06219639910469,90.59418948597376
86.6,87.92,87.71,87.77,138192.105,-2.0152804791893146,,,58.0272489076864,94.60652442594211,89.576,84.54547557405787,11.231857698361434,0.32049585221308524,41.04753689930216,1.851901730570287,88.00375711928376,90.38499026479052
86.97,87.95,87.78,87.01,68280.989,-1.9744673211776558,,,57.634112661068826,93.75298936635465,89.192,84.63101063364533,10.227350808042564,0.2607975129150612,38.433831562314225,1.7826627780706443,87.80500569542701,90.13499098591714
85.61,87.45,87.02,85.84,177201.853,-2.0133234814684897,,,57.8286941250465,92.9250403320941,88.77199999999999,84.61895966790588,9.35664473503832,0.14700559523321902,34.76392291467841,1.7871799482745019,87.41200455634161,89.81684350547883
85.83,88.06,85.85,87.85,136237.168,-1.8604806044146756,0.17945231457676103,-2.0399329189914366,57.165286987462714,91.77358942969025,88.4525,85.13141057030975,7.509317271281754,0.4092918133107604,44.55822656303711,1.8218117429373581,87.4996036450733,89.67115139396188
87.16,88.16,87.85,87.98,93518.718,-1.709159483025914,0.2646187487724181,-1.9737782317983321,56.440614112678645,90.84898409086121,88.20899999999999,85.56901590913877,5.985747692097676,0.45662852651409724,45.13199528854864,1.7579727543383052,87.59568291605864,89.54588092033508
87.45,88.38,87.98,88.0,75339.249,-1.5695300063477902,0.32339858036043356,-1.8929285867082237,55.4903510450139,90.40347386130364,88.06500000000001,85.72652613869639,5.310790578103959,0.48610204692136766,45.22591272611305,1.6940548027337345,87.67654633284691,89.43137122253248
87.54,88.64,87.99,87.78,98372.319,-1.4597971684222415,0.34650513462878596,-1.8063023030510275,54.27879860986958,90.38603823121288,88.045,85.70396176878712,5.317822093731336,0.44340118062431094,44.327090785260935,1.6484579543606837,87.69723706627754,89.30904742827082
87.36,89.03,87.78,88.85,122515.64,-1.2718321567321595,0.42757611705509446,-1.699408273787254,52.65767553792355,90.2344273244004,87.9985,85.76257267559961,5.081739630562778,0.6904131656489179,49.576003700570496,1.6501026594302821,87.92778965302203,89.27504391506557
87.93,89.02,88.84,88.52,83310.659,-1.1363970945050852,0.45040894342573523,-1.5868060379308204,51.19707374099868,90.16061949252152,87.969,85.77738050747847,4.982708664464812,0.6257061277927538,48.07071138017318,1.6075489698403913,88.04623172241763,89.21911473617182
88.06,89.0,88.51,89.0,67674.005,-0.9790460104866696,0.48620802195532065,-1.4652540324419903,49.87772963816804,90.26637505248286,88.0335,85.80062494751715,5.072784911386809,0.7164250075088826,50.42844042600471,1.557061595241742,88.2369853779341,89.2028840149739
88.41,89.29,88.99,88.77,64613.063,-0.8629556055094412,0.48183874154603923,-1.3447943470554804,48.246376843038284,90.31039832253427,88.05699999999999,85.8036016774657,5.118044726788969,0.65820549630971,49.274002349731084,1.506069062409862,88.34358830234729,89.17081853238325
88.17,88.89,88.76,88.28,55814.298,-0.8012556516895586,0.4348309562927375,-1.236086607982296,46.95829147540931,90.33606604621372,88.0895,85.84293395378629,5.10064433607573,0.5423980412953054,46.815139235732794,1.447095854043538,88.33087064187784,89.10483197442893
87.49,88.54,88.28,88.43,135410.126,-0.7318183015265305,0.40341464516461256,-1.135232946691143,46.2956409571729,90.20225137172194,88.038,85.87374862827805,4.916630027310811,0.5905624931377825,47.67593057311261,1.4174112547496234,88.35069651350227,89.05484442076754
88.09,89.18,88.42,88.42,104489.081,-0.6698737302987752,0.37228737311389426,-1.0421611034126694,44.73397890359439,90.01845342664167,87.976,85.93354657335833,4.643205934895134,0.6086928089053308,47.620595802969135,1.3930170020378576,88.36455721080182,89.0078189081181
87.75,88.73,88.41,88.67,53947.772,-0.5937647502166357,0.3587170825568271,-0.9524818327734628,43.5830047074132,89.95287099583956,87.953,85.95312900416044,4.547590180754626,0.6792615627437003,49.20775692258901,1.3623389917787185,88.42564576864146,88.98279528529453
