low,high,open,close,volume,macd,macd_hist,macd_signal,adx,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,rsi,atr,ema_short,ema_long
80.81,83.82,83.05,82.3,758763.299,,,,,,,,,,,,,
82.29,88.15,82.32,86.84,1017284.333,,,,,,,,,,,,,
81.71,87.87,86.83,84.05,2042527.273,,,,,,,,,,,,,
78.0,84.15,84.04,80.86,1966162.509,,,,,,,,,,,,,
77.89,80.99,80.85,79.69,1852738.703,,,,,,,,,,,,,
78.51,81.45,79.69,81.4,1161117.862,,,,,,,,,,,,,
80.73,82.43,81.4,81.5,727714.928,,,,,,,,,,,,,
77.15,81.68,81.51,78.51,1166234.118,,,,,,,,,,,,,
78.41,80.8,78.51,78.98,1085083.453,,,,,,,,,,,,81.57,
77.01,81.68,78.99,81.35,1341929.566,,,,,,,,,,,,81.526,
80.76,81.7,81.35,81.31,660219.261,,,,,,,,,,,,81.4828,
80.65,82.28,81.31,80.82,979770.649,,,,,,,,,,,,81.35024,
78.01,84.6,80.82,83.93,2338462.287,,,,,,,,,,,,81.866192,
83.6,85.37,83.93,84.73,767068.901,,,,,,,,,,,,82.4389536,
84.17,86.25,84.72,85.54,657012.129,,,,,,,,,,62.43181677165645,3.3495600672612045,83.05916288,
83.64,85.75,85.54,85.02,835714.506,,,,,,,,,,60.05589718375109,3.217602706787552,83.45133030400001,
84.67,86.19,85.01,85.46,513085.63,,,,,,,,,,61.39467049117801,3.043000123517658,83.85306424320001,
84.92,86.95,85.45,86.27,698170.153,,,,,,,,,,63.80002799706318,2.941984877445293,84.33645139456002,
83.93,87.08,86.28,86.88,1000491.778,,,,,,,,,,65.54127764244588,2.9621572318993215,84.84516111564801,
85.53,87.02,86.88,85.81,492527.873,,,,,,,,,,60.08199272223833,2.822950456731789,85.03812889251842,
84.27,86.05,85.81,85.81,518860.93,,,,,88.5988454557094,83.238,77.8771545442906,12.8807646885062,0.7398875346481755,60.08199272223834,2.7265589990056367,85.19250311401474,
85.23,86.32,85.81,85.33,376679.997,,,,,88.35829397205084,83.1625,77.96670602794914,12.495521351693014,0.7085821735483925,57.586433579030164,2.57841514668825,85.2200024912118,
82.29,85.59,85.33,82.76,590208.32,,,,,88.28013315151203,83.098,77.91586684848797,12.472341455900343,0.4673879471910739,46.459517697698374,2.6425103556313987,84.72800199296945,
