low,high,open,close,volume,macd,macd_hist,macd_signal,adx,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,rsi,atr,ema_short,ema_long
167.015,177.43,176.256,167.428,3408747.0,,,,,,,,,,,,,
164.675,174.285,167.433,173.182,5601447.0,,,,,,,,,,,,,
169.779,173.304,173.181,169.968,1714556.0,,,,,,,,,,,,,
166.118,171.147,169.97,170.127,2311272.0,,,,,,,,,,,,,
168.263,173.597,170.127,172.225,2022787.0,,,,,,,,,,,,,
171.843,184.655,172.224,182.331,4819913.0,,,,,,,,,,,,,
178.883,183.44,182.325,182.361,2917499.0,,,,,,,,,,,,,
181.127,185.0,182.36,181.963,2408187.0,,,,,,,,,,,,,
178.269,184.184,181.982,181.361,2798864.0,,,,,,,,,,,,175.66066666666666,
179.15,183.199,181.358,181.633,1649386.0,,,,,,,,,,,,176.85513333333333,
180.374,188.6,181.639,186.875,2484831.0,,,,,,,,,,,,178.85910666666666,
181.392,189.25,186.87,183.446,2879312.0,,,,,,,,,,,,179.77648533333334,
175.371,183.54,183.435,177.02,3071799.0,,,,,,,,,,,,179.2251882666667,
176.27,179.911,177.015,179.48,1387110.0,,,,,,,,,,,,179.27615061333336,
178.655,184.293,179.469,184.272,1471216.0,,,,,,,,,,65.74146067963969,6.23285239708327,180.2753204906667,
181.915,185.714,184.272,184.155,1433175.0,,,,,,,,,,65.46522404750382,5.973756652888162,181.05125639253336,
180.562,184.79,184.156,181.325,1291647.0,,,,,,,,,,59.006764011931665,5.7942013186888595,181.1060051140267,
180.636,187.271,181.334,185.529,1350670.0,,,,,,,,,,64.59465698687592,5.878044828396471,181.99060409122137,
183.656,186.499,185.529,186.393,1147313.0,,,,,,,,,,65.6315444222207,5.58372007301153,182.8710832729771,
185.522,189.318,186.393,187.783,1362132.0,,,,,,,,,,67.29118249976148,5.414673764048238,183.85346661838167,
186.42,190.0,187.782,188.086,1505925.0,,,,,192.00617294520023,180.97575,169.94532705479978,12.189945829980237,0.8223017845881403,67.65781857431817,5.24510973785019,184.69997329470536,
185.395,193.218,188.086,192.432,2632623.0,,,,,193.43021372905864,181.93824999999998,170.44628627094133,12.632817704972597,0.9565690532709149,72.43114239595702,5.478464352329952,186.2463786357643,
188.28,192.444,192.408,189.575,1317062.0,,,,,193.46504484933192,182.9186,172.37215515066808,11.531298456616135,0.8155755373063772,65.57906855384176,5.361706265011134,186.91210290861144,
189.499,193.823,189.574,192.97,1557917.0,,,,,193.72980345677638,184.06075,174.39169654322365,10.506371898165543,0.9607095223863982,69.29616282363112,5.271107530339991,188.12368232688917,
191.352,194.312,192.969,191.76,1168322.0,,,,,193.6114796477481,185.0375,176.4635203522519,9.26728868229208,0.892029155432251,66.53823736331165,5.072486044899473,188.85094586151135,
191.51,195.0,191.762,194.397,1219790.0,,,,,195.02761325264322,185.64079999999998,176.25398674735675,10.112877398334026,0.9664096197681543,69.39681148437562,4.938429472931348,189.9601566892091,182.61834615384618
193.411,198.269,194.39,195.999,2267163.0,6.082056441347447,,,,196.59690831207925,186.3227,176.04849168792074,11.028402134661267,0.9709024630454347,71.01670146428475,4.931705402890543,191.1679253513673,183.6095056980057
190.655,196.7,195.998,192.782,2681577.0,5.878064397538566,,,44.31032594697785,197.30069763378984,186.86364999999998,176.42660236621012,11.1707628891867,0.7835260606092963,63.72239261180442,5.0236597250272235,191.49074028109385,184.28894972037565
188.614,192.9,192.783,191.117,2204890.0,5.518434569511214,,,42.82554913893677,197.62483959594147,187.35145,177.07806040405853,10.966971001229473,0.6832671663443769,60.27186022945782,4.963404488044419,191.41599222487508,184.79473122257005
188.555,193.761,191.116,188.988,2087357.0,5.003950407159152,,,41.8047717752096,197.66892857117205,187.71919999999997,177.7694714288279,10.600650941589432,0.56376053331124,56.089497555039166,4.983019571306206,190.93039377990007,185.1053437246019
188.0,191.189,189.008,190.686,1866620.0,4.679292440562449,,,40.589860171448855,197.9332078439777,187.90975,177.8862921560223,10.668374412693003,0.6384876378598247,58.55940019782086,4.839318548858344,190.88151502392006,185.5187256709277
190.0,196.398,190.689,195.301,2052340.0,4.7397536639916495,,,40.888628466390195,198.79839235569204,188.5025,178.20660764430795,10.923878840537443,0.8301559381708893,64.4176137686837,4.963095652600394,191.76541201913605,186.24333858419232
191.244,195.902,195.3,192.964,1356143.0,4.546681931191273,,,41.15170285725937,198.30385033415132,189.29969999999997,180.29554966584863,9.513116327338446,0.7034783885216744,59.806959257309366,4.939059451597301,192.00512961530885,186.7411653557336
179.55,193.436,192.964,188.499,3562354.0,3.9874185287842465,-1.1639216358645301,5.151340164648777,37.85338795146834,197.56756896529558,189.75065,181.93373103470444,8.239148551317816,0.41993968432083617,52.12994035880261,5.638776202737412,191.30390369224708,186.87137532938297
181.062,189.474,188.505,183.251,3240308.0,3.0851646547754967,-1.6529404078986243,4.738105062674121,34.9214604627754,197.67078351062108,189.69959999999998,181.72841648937887,8.404006661712627,0.09550548601674927,44.843759478267835,5.854202428874414,189.69332295379766,186.6031993790583
178.632,186.502,183.263,180.233,2304423.0,2.1023598856259014,-2.108596141638576,4.210956027264477,32.944293819092195,198.1730288799333,189.5035,180.8339711200667,9.149729561652736,-0.03465996413356009,41.2712723645079,6.0098182398062425,187.80125836303813,186.13133275838732
177.157,186.132,180.233,183.112,2233655.0,1.5380614495613827,-2.138315662162476,3.6763771117238586,31.535099427621827,197.9547564399213,189.59285,181.23094356007869,8.820909058460076,0.11247772582941087,45.71413164887018,6.23741162428173,186.8634066904305,185.90767847998825
177.475,184.74,183.113,180.537,1918933.0,0.8730064190314977,-2.242696554153889,3.1157029731853867,30.269039869293934,198.44110618428854,189.34324999999998,180.24539381571142,9.609908126419676,0.016026093311530272,42.60930958800548,6.315866560238217,185.59812535234443,185.50985044443357
177.725,183.899,180.537,181.115,1602823.0,0.38811137894077774,-2.1820732753956875,2.5701846543364653,29.12834370753504,198.78977938854908,189.07935,179.36892061145093,10.271274349683425,0.08990742420763205,43.536332803964115,6.305088276175609,184.70150028187555,185.18430596706813
176.923,185.397,181.112,182.184,2922414.0,0.08906128908120081,-1.9848986922042116,2.0739599812854124,27.543985798830033,198.9557781221456,188.7994,178.64302187785438,10.758909320840651,0.17432287768139726,45.2962836673357,6.469125168777369,184.19800022550044,184.96206108061864
181.861,189.54,182.182,182.547,2905775.0,-0.11729489287807837,-1.7530038993307926,1.6357090064527142,25.7437536548836,199.03729306064517,188.52245,178.00760693935482,11.155003619616842,0.2158564343026272,45.91279295088736,6.560246246220196,183.86780018040037,184.78316766723947
182.546,187.058,182.546,187.054,1520955.0,0.08189949325500834,-1.2430476105581647,1.324947103813173,24.11045520759481,198.62885956598393,188.25355,177.87824043401605,11.022697384441292,0.4421920863001147,52.99590484403964,6.406580800726676,184.5050401443203,184.95137746966617
184.209,188.209,187.047,187.577,1180925.0,0.2787509411569431,-0.836956930124984,1.115707871281927,22.964924511543835,198.51460683370982,188.15365,177.79269316629018,11.013293479780828,0.4721719716984128,53.75276241139416,6.226678678832023,185.11943211545625,185.14586802746868
184.031,188.063,187.586,186.648,948735.0,0.3556943725199062,-0.6080107990096167,0.963705171529523,21.857061366861846,197.97479324409738,187.83755,177.7003067559026,10.7936280515769,0.441327737168947,52.14655081543055,6.06316094529078,185.425145692365,185.257137062471
182.524,187.064,186.648,183.85,1106434.0,0.18872191136532024,-0.6199866081313622,0.8087085194966824,20.301928273270146,197.55347956213404,187.44205,177.33062043786595,10.788859343070618,0.32237674811820144,47.53901395859718,5.950023842277117,185.110116553892,185.15290468747315
182.8,188.162,183.859,188.098,1195780.0,0.394624149362528,-0.33126749610732364,0.7258916454698516,19.24351877585906,196.732099841749,187.12709999999998,177.52210015825096,10.26574968751081,0.5505413855281872,54.16115435229368,5.906470796434928,185.70769324311362,185.3710598958085
182.855,188.89,188.099,182.998,1695222.0,0.14460881845593576,-0.4650262616111327,0.6096350800670685,18.512128666961907,195.32202220967926,186.47705,177.63207779032072,9.486392250069668,0.3033317732647712,46.562020358047924,5.915965494374063,185.16575459449092,185.19527768130416
178.65,184.692,183.005,181.942,2827425.0,-0.13715941878948001,-0.5974355990852388,0.4602761802957588,17.740234595875616,194.49199654593556,185.93505,177.37810345406442,9.204231849708352,0.26667786934484106,45.14945948850468,5.925253211158309,184.52100367559274,184.95429414935572
179.827,188.17,181.942,186.86,2350748.0,0.035964149394771994,-0.33944962472078943,0.3754137741155614,16.800004022803066,193.95874654815955,185.7222,177.48565345184042,8.869749064096341,0.5690702100296067,52.393066099244834,6.103019127081698,184.98880294047422,185.09545754569973
185.085,187.92,186.852,186.062,1028118.0,0.10753430510158069,-0.2143035752111846,0.3218378803127653,15.93733471995046,193.67806558458287,185.5759,177.4737344154171,8.731915711666092,0.5299981526497676,51.21128066813562,5.863239345143133,185.20344235237937,185.1670532830553
186.027,193.89,186.059,193.49,2414288.0,0.7549293352980442,0.3464731639882231,0.4084561713098211,16.629248966054355,194.25251812237423,185.7161,177.1796818776258,9.192975861946502,0.9553373492580199,60.20850857278151,6.009680438967096,186.86075388190352,185.78356785468085
191.64,193.988,193.489,192.141,1134639.0,1.1459319448787824,0.589980618855169,0.5559513260236134,17.28586683796688,193.47342594148841,185.55810000000002,177.64277405851163,8.531372051652166,0.9158325284809512,58.11254403958666,5.742020091758618,187.91680310552283,186.25448875433412
188.554,194.597,192.139,189.908,1903728.0,1.2610829131271828,0.5641052696828555,0.6969776434443273,16.85249305554263,192.84666065783668,185.4053,177.96393934216334,8.027128305217454,0.8025454756891859,54.71699685418173,5.763984364191348,188.31504248441829,186.52511921697604
189.186,193.4,189.925,193.323,1500164.0,1.609351245365957,0.7298988815373038,0.8794523638286533,16.453572175306668,193.7560583973481,185.6465,177.5369416026519,8.736559425949974,0.9732995080539947,58.69219405605841,5.651047645071211,189.31663398753463,187.02866594164448
190.52,193.347,193.331,192.701,1058854.0,1.8142526310759024,0.7478402137977993,1.066412417278103,16.08612367465749,194.70255534729046,186.119,177.53544465270954,9.223728203236055,0.8834075586218311,57.698680722673096,5.445573447506498,189.9935071900277,187.448838834856
191.651,196.26,192.69,195.743,1306557.0,2.196779327787965,0.9042935284078895,1.2924857993800756,16.503340959002433,195.9976366791891,186.8945,177.7913633208109,9.74147091454174,0.9860137945763664,61.16134982147863,5.384786261235024,191.14340575202218,188.06322114338516
192.338,196.449,195.742,193.235,1272809.0,2.2713768328725052,0.7831128267939436,1.4882640060785617,16.934342490371773,196.729169331062,187.40064999999998,178.07213066893797,9.955695811153284,0.8127157586827777,57.01737325630963,5.292344302426358,191.56172460161775,188.44631587350477
192.717,196.255,193.236,196.088,876735.0,2.5315272789316055,0.8346106182824349,1.6969166606491706,17.332007656449875,197.67951615303886,188.1782,178.67688384696115,10.098211326326702,0.9162475952065944,60.311664817611735,5.165172491409993,192.46697968129422,189.01236654954147
194.853,198.498,196.099,195.5,1540747.0,2.6595935568533378,0.7701415169633337,1.889452039890004,18.265178353191754,198.3287658461583,188.89745,179.4661341538417,9.985646546481489,0.8500333414604843,59.30286500167751,5.055092517801286,193.0735837450354,189.49293199031618
194.907,196.75,195.5,195.823,666493.0,2.755388007568655,0.6927487741429208,2.062639233425734,19.12695850491071,198.9425224364523,189.57940000000002,180.21627756354775,9.877784650075135,0.8334144160975916,59.70161545883335,4.8227245549485,193.62346699602833,189.9618259169594
195.616,198.38,195.826,196.87,910829.0,2.882561574282107,0.6559378726850982,2.226623701597009,20.31837318984697,199.58835464606867,190.29555,181.00274535393132,9.766707257283395,0.853738739293381,61.03436326799278,4.6739289511354585,194.27277359682267,190.47354251570317
196.222,198.496,196.864,196.784,815699.0,2.9424888806897513,0.5726921432741938,2.3697967374155575,21.44724482364441,200.35952130457696,190.78205,181.20457869542304,10.040222656771913,0.8133368824154937,60.85632943271428,4.500619388827025,194.77501887745814,190.94098381083626
196.446,205.0,196.784,201.314,2550321.0,3.3172753585796215,0.7579828969312512,2.5592924616483703,23.720177268742745,201.95559776240333,191.46890000000002,180.9822022375967,10.953943708250591,0.9694089704433183,66.41375895883341,4.793102204796995,196.08281510196653,191.70935538040393
